Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
"QSS","2013-01-07","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-07","09:11:45.690","ENTER","0.082","1","0","0.082","","0","6218934257436451753","","B","","","","112",""
"QSS","2013-01-07","16:30:59.444","DELETE","","","","","","0","6218934257436451753","","B","","","","112",""
"QSS","2013-01-08","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-08","12:21:36.175","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-08","13:47:49.020","ENTER","0.074","40000","0","2960","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-08","13:53:42.409","ENTER","0.085","20000","0","1700","","0","","6219341351618344424","A","","","","","144"
"QSS","2013-01-08","13:55:42.917","ENTER","0.080","35000","0","2800","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-08","13:56:35.704","AMEND","0.085","40000","","3400","","0","6219341351618310815","","B","13:47:49","0.074","40000","638",""
"QSS","2013-01-08","13:56:35.704","TRADE","0.085","20000","","1700","Bi","0","6219341351618310815","6219341351618344424","","","","","638","144"
"QSS","2013-01-08","13:57:35.796","AMEND","0.075","20000","","1500","","0","6219341351618310815","","B","13:47:49","0.085","20000","638",""
"QSS","2013-01-08","14:08:28.105","AMEND","0.076","35000","","2660","","0","6219341351618358642","","B","13:55:42","0.080","35000","638",""
"QSS","2013-01-09","00:00:00.000","ENTER","0.076","35000","0","2660","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-09","00:00:00.000","ENTER","0.075","20000","0","1500","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-09","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-09","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-09","10:25:52.854","ENTER","0.088","26025","0","2290.2","","0","","6219737450680753225","A","","","","","238"
"QSS","2013-01-09","15:38:40.160","AMEND","0.088","40000","","3520","","0","6219341351618310815","","B","00:00:00","0.075","20000","638",""
"QSS","2013-01-09","15:38:40.160","TRADE","0.088","26025","","2290.2","Bi","0","6219341351618310815","6219737450680753225","","","","","638","238"
"QSS","2013-01-09","15:39:29.448","AMEND","0.075","13975","","1048.125","","0","6219341351618310815","","B","00:00:00","0.088","13975","638",""
"QSS","2013-01-10","00:00:00.000","ENTER","0.076","35000","0","2660","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-10","00:00:00.000","ENTER","0.075","13975","0","1048.125","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-10","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-10","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-10","08:32:48.553","ENTER","0.088","1","0","0.088","","0","6220132725110726786","","B","","","","112",""
"QSS","2013-01-10","16:01:27.646","DELETE","","","","","","0","6220132725110726786","","B","","","","112",""
"QSS","2013-01-11","00:00:00.000","ENTER","0.076","35000","0","2660","","0","6219341351618358642","","B","","","","638",""
"QSS","2013-01-11","00:00:00.000","ENTER","0.075","13975","0","1048.125","","0","6219341351618310815","","B","","","","638",""
"QSS","2013-01-11","00:00:00.000","ENTER","0.094","39998","0","3759.812","","0","","6219341351617764647","A","","","","","140"
"QSS","2013-01-11","00:00:00.000","ENTER","0.105","30000","0","3150","","0","","6214580191390790797","A","","","","","144"
"QSS","2013-01-14","00:00:00.000","ENTER","0.076","35000","0","2660","","0","6219341351618358642","","B","","","","638",""
